id,name,research_interests,skills,publications,profile_text
21,Ritika Desai 21,Autonomous Systems and Self Driving Cars,"PyTorch, LangChain, Scikit-Learn",Semantic search engine for academic research,"Autonomous Systems and Self Driving Cars. Expertise in PyTorch, LangChain, Scikit-Learn. Published work on Semantic search engine for academic research."
22,Rahul Khanna 22,Financial Fraud Detection using AI,"Transformers, Machine Learning, Python",CNN-based tumor detection system,"Financial Fraud Detection using AI. Expertise in Transformers, Machine Learning, Python. Published work on CNN-based tumor detection system."
23,Vivaan Malhotra 23,Explainable AI in Healthcare,"PyTorch, Transformers, LangChain",RAG-based conversational AI framework,"Explainable AI in Healthcare. Expertise in PyTorch, Transformers, LangChain. Published work on RAG-based conversational AI framework."
24,Rahul Khanna 24,Natural Language Processing and Large Language Models,"Data Analysis, Transformers, Machine Learning",RAG-based conversational AI framework,"Natural Language Processing and Large Language Models. Expertise in Data Analysis, Transformers, Machine Learning. Published work on RAG-based conversational AI framework."
25,Ananya Gupta 25,Reinforcement Learning for Robotics,"Scikit-Learn, Machine Learning, FastAPI",Bias detection in large language models,"Reinforcement Learning for Robotics. Expertise in Scikit-Learn, Machine Learning, FastAPI. Published work on Bias detection in large language models."
26,Kabir Verma 26,Explainable AI in Healthcare,"TensorFlow, Machine Learning, Scikit-Learn",Transformer models for medical text analysis,"Explainable AI in Healthcare. Expertise in TensorFlow, Machine Learning, Scikit-Learn. Published work on Transformer models for medical text analysis."
27,Arjun Patel 27,AI for Climate Change Modeling,"Python, PyTorch, Vector Databases",Graph neural networks for drug discovery,"AI for Climate Change Modeling. Expertise in Python, PyTorch, Vector Databases. Published work on Graph neural networks for drug discovery."
28,Sneha Kapoor 28,Natural Language Processing and Large Language Models,"HuggingFace, FastAPI, PyTorch",CNN-based tumor detection system,"Natural Language Processing and Large Language Models. Expertise in HuggingFace, FastAPI, PyTorch. Published work on CNN-based tumor detection system."
29,Neha Joshi 29,Computer Vision for Medical Imaging,"Machine Learning, TensorFlow, Scikit-Learn",Financial anomaly detection system,"Computer Vision for Medical Imaging. Expertise in Machine Learning, TensorFlow, Scikit-Learn. Published work on Financial anomaly detection system."
30,Ishita Rao 30,Reinforcement Learning for Robotics,"Machine Learning, FastAPI, LangChain",Bias detection in large language models,"Reinforcement Learning for Robotics. Expertise in Machine Learning, FastAPI, LangChain. Published work on Bias detection in large language models."
31,Aditya Nair 31,Reinforcement Learning for Robotics,"LangChain, Scikit-Learn, Vector Databases",Financial anomaly detection system,"Reinforcement Learning for Robotics. Expertise in LangChain, Scikit-Learn, Vector Databases. Published work on Financial anomaly detection system."
32,Rahul Khanna 32,Computer Vision for Medical Imaging,"HuggingFace, Data Analysis, PyTorch",Explainable AI for clinical diagnostics,"Computer Vision for Medical Imaging. Expertise in HuggingFace, Data Analysis, PyTorch. Published work on Explainable AI for clinical diagnostics."
33,Aarav Sharma 33,Autonomous Systems and Self Driving Cars,"Machine Learning, HuggingFace, FastAPI",Bias detection in large language models,"Autonomous Systems and Self Driving Cars. Expertise in Machine Learning, HuggingFace, FastAPI. Published work on Bias detection in large language models."
34,Aarav Sharma 34,Computer Vision for Medical Imaging,"Data Analysis, Scikit-Learn, Python",Bias detection in large language models,"Computer Vision for Medical Imaging. Expertise in Data Analysis, Scikit-Learn, Python. Published work on Bias detection in large language models."
35,Rohan Singh 35,Natural Language Processing and Large Language Models,"Vector Databases, PyTorch, Machine Learning",Bias detection in large language models,"Natural Language Processing and Large Language Models. Expertise in Vector Databases, PyTorch, Machine Learning. Published work on Bias detection in large language models."
36,Vivaan Malhotra 36,AI for Climate Change Modeling,"HuggingFace, Machine Learning, TensorFlow",Semantic search engine for academic research,"AI for Climate Change Modeling. Expertise in HuggingFace, Machine Learning, TensorFlow. Published work on Semantic search engine for academic research."
37,Neha Joshi 37,Graph Neural Networks for Drug Discovery,"Deep Learning, LangChain, HuggingFace",CNN-based tumor detection system,"Graph Neural Networks for Drug Discovery. Expertise in Deep Learning, LangChain, HuggingFace. Published work on CNN-based tumor detection system."
38,Ananya Gupta 38,Cybersecurity using Machine Learning,"Vector Databases, LangChain, Scikit-Learn",Financial anomaly detection system,"Cybersecurity using Machine Learning. Expertise in Vector Databases, LangChain, Scikit-Learn. Published work on Financial anomaly detection system."
39,Meera Iyer 39,Computer Vision for Medical Imaging,"Python, LangChain, Vector Databases",CNN-based tumor detection system,"Computer Vision for Medical Imaging. Expertise in Python, LangChain, Vector Databases. Published work on CNN-based tumor detection system."
40,Sneha Kapoor 40,Graph Neural Networks for Drug Discovery,"HuggingFace, Machine Learning, Deep Learning",RAG-based conversational AI framework,"Graph Neural Networks for Drug Discovery. Expertise in HuggingFace, Machine Learning, Deep Learning. Published work on RAG-based conversational AI framework."
41,Ritika Desai 41,Healthcare AI and Clinical Decision Systems,"Transformers, Deep Learning, HuggingFace",CNN-based tumor detection system,"Healthcare AI and Clinical Decision Systems. Expertise in Transformers, Deep Learning, HuggingFace. Published work on CNN-based tumor detection system."
42,Rahul Khanna 42,Financial Fraud Detection using AI,"PyTorch, Python, Machine Learning",Transformer models for medical text analysis,"Financial Fraud Detection using AI. Expertise in PyTorch, Python, Machine Learning. Published work on Transformer models for medical text analysis."
43,Rohan Singh 43,Graph Neural Networks for Drug Discovery,"TensorFlow, LangChain, Deep Learning",Financial anomaly detection system,"Graph Neural Networks for Drug Discovery. Expertise in TensorFlow, LangChain, Deep Learning. Published work on Financial anomaly detection system."
44,Aditya Nair 44,Cybersecurity using Machine Learning,"Python, TensorFlow, LangChain",Transformer models for medical text analysis,"Cybersecurity using Machine Learning. Expertise in Python, TensorFlow, LangChain. Published work on Transformer models for medical text analysis."
45,Kunal Mehta 45,Reinforcement Learning for Robotics,"Deep Learning, Transformers, LangChain",Multi-agent reinforcement learning framework,"Reinforcement Learning for Robotics. Expertise in Deep Learning, Transformers, LangChain. Published work on Multi-agent reinforcement learning framework."
46,Neha Joshi 46,Healthcare AI and Clinical Decision Systems,"HuggingFace, Transformers, Data Analysis",Transformer models for medical text analysis,"Healthcare AI and Clinical Decision Systems. Expertise in HuggingFace, Transformers, Data Analysis. Published work on Transformer models for medical text analysis."
47,Meera Iyer 47,Explainable AI in Healthcare,"Python, Data Analysis, FastAPI",Financial anomaly detection system,"Explainable AI in Healthcare. Expertise in Python, Data Analysis, FastAPI. Published work on Financial anomaly detection system."
48,Ishita Rao 48,Natural Language Processing and Large Language Models,"Machine Learning, PyTorch, TensorFlow",CNN-based tumor detection system,"Natural Language Processing and Large Language Models. Expertise in Machine Learning, PyTorch, TensorFlow. Published work on CNN-based tumor detection system."
49,Rohan Singh 49,Graph Neural Networks for Drug Discovery,"LangChain, PyTorch, FastAPI",Bias detection in large language models,"Graph Neural Networks for Drug Discovery. Expertise in LangChain, PyTorch, FastAPI. Published work on Bias detection in large language models."
50,Meera Iyer 50,Autonomous Systems and Self Driving Cars,"PyTorch, LangChain, FastAPI",Semantic search engine for academic research,"Autonomous Systems and Self Driving Cars. Expertise in PyTorch, LangChain, FastAPI. Published work on Semantic search engine for academic research."
51,Arjun Patel 51,Reinforcement Learning for Robotics,"HuggingFace, Scikit-Learn, Vector Databases",Bias detection in large language models,"Reinforcement Learning for Robotics. Expertise in HuggingFace, Scikit-Learn, Vector Databases. Published work on Bias detection in large language models."
52,Vivaan Malhotra 52,Cybersecurity using Machine Learning,"TensorFlow, Scikit-Learn, Transformers",Financial anomaly detection system,"Cybersecurity using Machine Learning. Expertise in TensorFlow, Scikit-Learn, Transformers. Published work on Financial anomaly detection system."
53,Arjun Patel 53,Computer Vision for Medical Imaging,"Python, Deep Learning, FastAPI",Semantic search engine for academic research,"Computer Vision for Medical Imaging. Expertise in Python, Deep Learning, FastAPI. Published work on Semantic search engine for academic research."
54,Ananya Gupta 54,Computer Vision for Medical Imaging,"Machine Learning, HuggingFace, Data Analysis",Graph neural networks for drug discovery,"Computer Vision for Medical Imaging. Expertise in Machine Learning, HuggingFace, Data Analysis. Published work on Graph neural networks for drug discovery."
55,Kabir Verma 55,Explainable AI in Healthcare,"PyTorch, HuggingFace, Vector Databases",Graph neural networks for drug discovery,"Explainable AI in Healthcare. Expertise in PyTorch, HuggingFace, Vector Databases. Published work on Graph neural networks for drug discovery."
56,Ishita Rao 56,AI for Climate Change Modeling,"Machine Learning, Transformers, FastAPI",Multi-agent reinforcement learning framework,"AI for Climate Change Modeling. Expertise in Machine Learning, Transformers, FastAPI. Published work on Multi-agent reinforcement learning framework."
57,Aarav Sharma 57,Financial Fraud Detection using AI,"Transformers, Scikit-Learn, PyTorch",RAG-based conversational AI framework,"Financial Fraud Detection using AI. Expertise in Transformers, Scikit-Learn, PyTorch. Published work on RAG-based conversational AI framework."
58,Vivaan Malhotra 58,Computer Vision for Medical Imaging,"PyTorch, Machine Learning, TensorFlow",Graph neural networks for drug discovery,"Computer Vision for Medical Imaging. Expertise in PyTorch, Machine Learning, TensorFlow. Published work on Graph neural networks for drug discovery."
59,Priya Menon 59,Autonomous Systems and Self Driving Cars,"HuggingFace, Vector Databases, Data Analysis",Graph neural networks for drug discovery,"Autonomous Systems and Self Driving Cars. Expertise in HuggingFace, Vector Databases, Data Analysis. Published work on Graph neural networks for drug discovery."
60,Neha Joshi 60,Reinforcement Learning for Robotics,"Python, PyTorch, LangChain",Graph neural networks for drug discovery,"Reinforcement Learning for Robotics. Expertise in Python, PyTorch, LangChain. Published work on Graph neural networks for drug discovery."
61,Meera Iyer 61,Natural Language Processing and Large Language Models,"Vector Databases, TensorFlow, Transformers",RAG-based conversational AI framework,"Natural Language Processing and Large Language Models. Expertise in Vector Databases, TensorFlow, Transformers. Published work on RAG-based conversational AI framework."
62,Rahul Khanna 62,Financial Fraud Detection using AI,"Data Analysis, LangChain, Machine Learning",Transformer models for medical text analysis,"Financial Fraud Detection using AI. Expertise in Data Analysis, LangChain, Machine Learning. Published work on Transformer models for medical text analysis."
63,Ananya Gupta 63,Computer Vision for Medical Imaging,"Data Analysis, TensorFlow, Machine Learning",Transformer models for medical text analysis,"Computer Vision for Medical Imaging. Expertise in Data Analysis, TensorFlow, Machine Learning. Published work on Transformer models for medical text analysis."
64,Diya Sethi 64,Autonomous Systems and Self Driving Cars,"Machine Learning, TensorFlow, LangChain",RAG-based conversational AI framework,"Autonomous Systems and Self Driving Cars. Expertise in Machine Learning, TensorFlow, LangChain. Published work on RAG-based conversational AI framework."
65,Meera Iyer 65,Reinforcement Learning for Robotics,"Vector Databases, Python, Data Analysis",Bias detection in large language models,"Reinforcement Learning for Robotics. Expertise in Vector Databases, Python, Data Analysis. Published work on Bias detection in large language models."
66,Sneha Kapoor 66,Computer Vision for Medical Imaging,"Vector Databases, Machine Learning, LangChain",Semantic search engine for academic research,"Computer Vision for Medical Imaging. Expertise in Vector Databases, Machine Learning, LangChain. Published work on Semantic search engine for academic research."
67,Kabir Verma 67,Graph Neural Networks for Drug Discovery,"TensorFlow, Data Analysis, LangChain",Transformer models for medical text analysis,"Graph Neural Networks for Drug Discovery. Expertise in TensorFlow, Data Analysis, LangChain. Published work on Transformer models for medical text analysis."
68,Ishita Rao 68,Explainable AI in Healthcare,"LangChain, Scikit-Learn, HuggingFace",Graph neural networks for drug discovery,"Explainable AI in Healthcare. Expertise in LangChain, Scikit-Learn, HuggingFace. Published work on Graph neural networks for drug discovery."
69,Ishita Rao 69,Computer Vision for Medical Imaging,"LangChain, Python, Deep Learning",Bias detection in large language models,"Computer Vision for Medical Imaging. Expertise in LangChain, Python, Deep Learning. Published work on Bias detection in large language models."
70,Aditya Nair 70,AI for Climate Change Modeling,"Vector Databases, Transformers, HuggingFace",Bias detection in large language models,"AI for Climate Change Modeling. Expertise in Vector Databases, Transformers, HuggingFace. Published work on Bias detection in large language models."
71,Aarav Sharma 71,Graph Neural Networks for Drug Discovery,"LangChain, Vector Databases, Transformers",CNN-based tumor detection system,"Graph Neural Networks for Drug Discovery. Expertise in LangChain, Vector Databases, Transformers. Published work on CNN-based tumor detection system."
72,Vivaan Malhotra 72,Explainable AI in Healthcare,"Scikit-Learn, Machine Learning, LangChain",Multi-agent reinforcement learning framework,"Explainable AI in Healthcare. Expertise in Scikit-Learn, Machine Learning, LangChain. Published work on Multi-agent reinforcement learning framework."
73,Arjun Patel 73,Natural Language Processing and Large Language Models,"PyTorch, Transformers, TensorFlow",Semantic search engine for academic research,"Natural Language Processing and Large Language Models. Expertise in PyTorch, Transformers, TensorFlow. Published work on Semantic search engine for academic research."
74,Vivaan Malhotra 74,Natural Language Processing and Large Language Models,"PyTorch, FastAPI, LangChain",Explainable AI for clinical diagnostics,"Natural Language Processing and Large Language Models. Expertise in PyTorch, FastAPI, LangChain. Published work on Explainable AI for clinical diagnostics."
75,Arjun Patel 75,Cybersecurity using Machine Learning,"FastAPI, Machine Learning, PyTorch",AI-driven climate prediction models,"Cybersecurity using Machine Learning. Expertise in FastAPI, Machine Learning, PyTorch. Published work on AI-driven climate prediction models."
76,Aditya Nair 76,Reinforcement Learning for Robotics,"Python, LangChain, Data Analysis",Multi-agent reinforcement learning framework,"Reinforcement Learning for Robotics. Expertise in Python, LangChain, Data Analysis. Published work on Multi-agent reinforcement learning framework."
77,Aditya Nair 77,Explainable AI in Healthcare,"LangChain, PyTorch, Vector Databases",Semantic search engine for academic research,"Explainable AI in Healthcare. Expertise in LangChain, PyTorch, Vector Databases. Published work on Semantic search engine for academic research."
78,Arjun Patel 78,Computer Vision for Medical Imaging,"Data Analysis, Transformers, Machine Learning",Graph neural networks for drug discovery,"Computer Vision for Medical Imaging. Expertise in Data Analysis, Transformers, Machine Learning. Published work on Graph neural networks for drug discovery."
79,Ritika Desai 79,Explainable AI in Healthcare,"LangChain, Transformers, Machine Learning",RAG-based conversational AI framework,"Explainable AI in Healthcare. Expertise in LangChain, Transformers, Machine Learning. Published work on RAG-based conversational AI framework."
80,Aditya Nair 80,Cybersecurity using Machine Learning,"Scikit-Learn, LangChain, TensorFlow",Semantic search engine for academic research,"Cybersecurity using Machine Learning. Expertise in Scikit-Learn, LangChain, TensorFlow. Published work on Semantic search engine for academic research."
81,Priya Menon 81,Cybersecurity using Machine Learning,"Machine Learning, Python, Transformers",Graph neural networks for drug discovery,"Cybersecurity using Machine Learning. Expertise in Machine Learning, Python, Transformers. Published work on Graph neural networks for drug discovery."
82,Aditya Nair 82,Cybersecurity using Machine Learning,"FastAPI, Data Analysis, Vector Databases",Financial anomaly detection system,"Cybersecurity using Machine Learning. Expertise in FastAPI, Data Analysis, Vector Databases. Published work on Financial anomaly detection system."
83,Rahul Khanna 83,AI for Climate Change Modeling,"Scikit-Learn, HuggingFace, Machine Learning",Financial anomaly detection system,"AI for Climate Change Modeling. Expertise in Scikit-Learn, HuggingFace, Machine Learning. Published work on Financial anomaly detection system."
84,Ishita Rao 84,Computer Vision for Medical Imaging,"Transformers, Machine Learning, FastAPI",Explainable AI for clinical diagnostics,"Computer Vision for Medical Imaging. Expertise in Transformers, Machine Learning, FastAPI. Published work on Explainable AI for clinical diagnostics."
85,Rohan Singh 85,Graph Neural Networks for Drug Discovery,"Scikit-Learn, Transformers, HuggingFace",Bias detection in large language models,"Graph Neural Networks for Drug Discovery. Expertise in Scikit-Learn, Transformers, HuggingFace. Published work on Bias detection in large language models."
86,Kabir Verma 86,Natural Language Processing and Large Language Models,"Python, HuggingFace, Deep Learning",Semantic search engine for academic research,"Natural Language Processing and Large Language Models. Expertise in Python, HuggingFace, Deep Learning. Published work on Semantic search engine for academic research."
87,Rohan Singh 87,AI for Climate Change Modeling,"LangChain, Scikit-Learn, FastAPI",Bias detection in large language models,"AI for Climate Change Modeling. Expertise in LangChain, Scikit-Learn, FastAPI. Published work on Bias detection in large language models."
88,Kunal Mehta 88,AI for Climate Change Modeling,"LangChain, HuggingFace, TensorFlow",Transformer models for medical text analysis,"AI for Climate Change Modeling. Expertise in LangChain, HuggingFace, TensorFlow. Published work on Transformer models for medical text analysis."
89,Ananya Gupta 89,Cybersecurity using Machine Learning,"HuggingFace, TensorFlow, Machine Learning",Financial anomaly detection system,"Cybersecurity using Machine Learning. Expertise in HuggingFace, TensorFlow, Machine Learning. Published work on Financial anomaly detection system."
90,Meera Iyer 90,Financial Fraud Detection using AI,"HuggingFace, PyTorch, Deep Learning",RAG-based conversational AI framework,"Financial Fraud Detection using AI. Expertise in HuggingFace, PyTorch, Deep Learning. Published work on RAG-based conversational AI framework."
91,Rahul Khanna 91,Financial Fraud Detection using AI,"Machine Learning, FastAPI, Vector Databases",Financial anomaly detection system,"Financial Fraud Detection using AI. Expertise in Machine Learning, FastAPI, Vector Databases. Published work on Financial anomaly detection system."
92,Ritika Desai 92,Financial Fraud Detection using AI,"Deep Learning, TensorFlow, Data Analysis",Financial anomaly detection system,"Financial Fraud Detection using AI. Expertise in Deep Learning, TensorFlow, Data Analysis. Published work on Financial anomaly detection system."
93,Vivaan Malhotra 93,Graph Neural Networks for Drug Discovery,"Scikit-Learn, Transformers, Machine Learning",Financial anomaly detection system,"Graph Neural Networks for Drug Discovery. Expertise in Scikit-Learn, Transformers, Machine Learning. Published work on Financial anomaly detection system."
94,Sneha Kapoor 94,Reinforcement Learning for Robotics,"Deep Learning, PyTorch, Transformers",Bias detection in large language models,"Reinforcement Learning for Robotics. Expertise in Deep Learning, PyTorch, Transformers. Published work on Bias detection in large language models."
95,Vivaan Malhotra 95,Explainable AI in Healthcare,"Vector Databases, Machine Learning, PyTorch",RAG-based conversational AI framework,"Explainable AI in Healthcare. Expertise in Vector Databases, Machine Learning, PyTorch. Published work on RAG-based conversational AI framework."
96,Kabir Verma 96,Graph Neural Networks for Drug Discovery,"LangChain, TensorFlow, HuggingFace",CNN-based tumor detection system,"Graph Neural Networks for Drug Discovery. Expertise in LangChain, TensorFlow, HuggingFace. Published work on CNN-based tumor detection system."
97,Ritika Desai 97,Cybersecurity using Machine Learning,"Vector Databases, Machine Learning, Deep Learning",AI-driven climate prediction models,"Cybersecurity using Machine Learning. Expertise in Vector Databases, Machine Learning, Deep Learning. Published work on AI-driven climate prediction models."
98,Meera Iyer 98,Graph Neural Networks for Drug Discovery,"LangChain, Data Analysis, FastAPI",Transformer models for medical text analysis,"Graph Neural Networks for Drug Discovery. Expertise in LangChain, Data Analysis, FastAPI. Published work on Transformer models for medical text analysis."
99,Kunal Mehta 99,AI for Climate Change Modeling,"Python, Vector Databases, Transformers",AI-driven climate prediction models,"AI for Climate Change Modeling. Expertise in Python, Vector Databases, Transformers. Published work on AI-driven climate prediction models."
100,Ritika Desai 100,Financial Fraud Detection using AI,"Data Analysis, Machine Learning, FastAPI",Bias detection in large language models,"Financial Fraud Detection using AI. Expertise in Data Analysis, Machine Learning, FastAPI. Published work on Bias detection in large language models."
101,Neha Joshi 101,Graph Neural Networks for Drug Discovery,"Transformers, LangChain, Deep Learning",Transformer models for medical text analysis,"Graph Neural Networks for Drug Discovery. Expertise in Transformers, LangChain, Deep Learning. Published work on Transformer models for medical text analysis."
102,Kunal Mehta 102,Explainable AI in Healthcare,"Scikit-Learn, Data Analysis, LangChain",RAG-based conversational AI framework,"Explainable AI in Healthcare. Expertise in Scikit-Learn, Data Analysis, LangChain. Published work on RAG-based conversational AI framework."
103,Rahul Khanna 103,Healthcare AI and Clinical Decision Systems,"FastAPI, Machine Learning, Python",AI-driven climate prediction models,"Healthcare AI and Clinical Decision Systems. Expertise in FastAPI, Machine Learning, Python. Published work on AI-driven climate prediction models."
104,Aarav Sharma 104,Computer Vision for Medical Imaging,"Scikit-Learn, LangChain, TensorFlow",Financial anomaly detection system,"Computer Vision for Medical Imaging. Expertise in Scikit-Learn, LangChain, TensorFlow. Published work on Financial anomaly detection system."
105,Ishita Rao 105,Natural Language Processing and Large Language Models,"Transformers, LangChain, Vector Databases",Bias detection in large language models,"Natural Language Processing and Large Language Models. Expertise in Transformers, LangChain, Vector Databases. Published work on Bias detection in large language models."
106,Rahul Khanna 106,Explainable AI in Healthcare,"Vector Databases, LangChain, Transformers",AI-driven climate prediction models,"Explainable AI in Healthcare. Expertise in Vector Databases, LangChain, Transformers. Published work on AI-driven climate prediction models."
107,Vivaan Malhotra 107,Computer Vision for Medical Imaging,"Deep Learning, Python, Machine Learning",Transformer models for medical text analysis,"Computer Vision for Medical Imaging. Expertise in Deep Learning, Python, Machine Learning. Published work on Transformer models for medical text analysis."
108,Diya Sethi 108,Graph Neural Networks for Drug Discovery,"Scikit-Learn, PyTorch, Python",Transformer models for medical text analysis,"Graph Neural Networks for Drug Discovery. Expertise in Scikit-Learn, PyTorch, Python. Published work on Transformer models for medical text analysis."
109,Sneha Kapoor 109,Graph Neural Networks for Drug Discovery,"Python, FastAPI, TensorFlow",Bias detection in large language models,"Graph Neural Networks for Drug Discovery. Expertise in Python, FastAPI, TensorFlow. Published work on Bias detection in large language models."
110,Kabir Verma 110,AI for Climate Change Modeling,"Scikit-Learn, PyTorch, FastAPI",Bias detection in large language models,"AI for Climate Change Modeling. Expertise in Scikit-Learn, PyTorch, FastAPI. Published work on Bias detection in large language models."
111,Rahul Khanna 111,Reinforcement Learning for Robotics,"Vector Databases, TensorFlow, FastAPI",Semantic search engine for academic research,"Reinforcement Learning for Robotics. Expertise in Vector Databases, TensorFlow, FastAPI. Published work on Semantic search engine for academic research."
112,Ananya Gupta 112,Healthcare AI and Clinical Decision Systems,"Transformers, PyTorch, FastAPI",Transformer models for medical text analysis,"Healthcare AI and Clinical Decision Systems. Expertise in Transformers, PyTorch, FastAPI. Published work on Transformer models for medical text analysis."
113,Priya Menon 113,Autonomous Systems and Self Driving Cars,"Scikit-Learn, LangChain, Data Analysis",Bias detection in large language models,"Autonomous Systems and Self Driving Cars. Expertise in Scikit-Learn, LangChain, Data Analysis. Published work on Bias detection in large language models."
114,Rohan Singh 114,Autonomous Systems and Self Driving Cars,"Data Analysis, Scikit-Learn, HuggingFace",CNN-based tumor detection system,"Autonomous Systems and Self Driving Cars. Expertise in Data Analysis, Scikit-Learn, HuggingFace. Published work on CNN-based tumor detection system."
115,Priya Menon 115,Autonomous Systems and Self Driving Cars,"PyTorch, FastAPI, Python",Explainable AI for clinical diagnostics,"Autonomous Systems and Self Driving Cars. Expertise in PyTorch, FastAPI, Python. Published work on Explainable AI for clinical diagnostics."
116,Ritika Desai 116,Explainable AI in Healthcare,"PyTorch, Machine Learning, Vector Databases",Transformer models for medical text analysis,"Explainable AI in Healthcare. Expertise in PyTorch, Machine Learning, Vector Databases. Published work on Transformer models for medical text analysis."
117,Ritika Desai 117,AI for Climate Change Modeling,"PyTorch, LangChain, Vector Databases",Financial anomaly detection system,"AI for Climate Change Modeling. Expertise in PyTorch, LangChain, Vector Databases. Published work on Financial anomaly detection system."
118,Kabir Verma 118,Cybersecurity using Machine Learning,"TensorFlow, Machine Learning, Transformers",Semantic search engine for academic research,"Cybersecurity using Machine Learning. Expertise in TensorFlow, Machine Learning, Transformers. Published work on Semantic search engine for academic research."
